contact_id,account_id,email,phone,first_name,last_name,created_at,updated_at,lifecycle_stage,opt_in_status,unsubscribed_at
PavRzXT1mWeXGVK78O,hkIhriwdCcILfyexVh,whitney.jones296@email.net,+1-521-331-8580,Whitney,Jones,2024-08-01 03:13:40,2024-11-03 03:13:40,SQL,OptedIn,
Mktt47x6quJJ6agivF,iepcueJRZj5IkA8XyW,kristen.williams501@email.net,+1-947-835-7762,Kristen,Williams,2024-10-13 06:44:27,2025-02-10 06:44:27,Customer,OptedOut,2024-12-11 06:44:27
9UioNjXip7z2aF9yUj,6DkYgDNSgg9zTIv5pj,cheryl.shaw312@homebuilder.com,+1-729-618-1863,Cheryl,Shaw,2025-08-15 06:48:12,2025-10-19 06:48:12,Prospect,OptedIn,
hl5dkV9LjMoH3vXjPE,K7fTaePF7a8Vt9AvWP,lindsey.evans771@example.com,+1-227-856-2180,Lindsey,Evans,2025-06-09 17:49:01,2025-08-24 17:49:01,SQL,OptedIn,
yHWpZRpmtLf32vE8K1,lsPPRvtvGm6BlbGZEE,maria.underwood349@email.net,+1-279-871-6330,Maria,Underwood,2025-02-13 05:33:06,2025-05-16 05:33:06,MQL,OptedIn,
nclBauTqaqbLM42Ewi,Zs9jw2lEGEfWnOus2e,sarah.foster88@homebuilder.com,+1-284-511-2590,Sarah,Foster,2025-05-18 21:00:38,2025-06-27 21:00:38,Customer,OptedIn,
oKDH5auOGQBpcx8XRu,V3rA9ltf7j0r02MvBx,catherine.fritz669@homebuilder.com,,Catherine,Fritz,2025-09-13 11:43:01,2025-11-14 11:43:01,MQL,OptedIn,
PSOTJK8WzJxytdeb4k,nXBsRFiepD4cWnchGe,danielle.wong646@email.net,,Danielle,Wong,2025-05-05 18:08:57,2025-09-13 18:08:57,MQL,OptedIn,
g0jOE4sc69TjtURASz,sCCFc96vffclX2TcUz,james.garza411@mail.com,+1-532-697-9464,James,Garza,2024-01-27 12:44:46,2024-05-17 12:44:46,SQL,OptedIn,
BNJkKgt2wuEEGM4dUO,Zs9jw2lEGEfWnOus2e,gina.cervantes718@example.com,,Gina,Cervantes,2024-04-13 13:55:44,2024-06-16 13:55:44,SQL,OptedIn,
OaJttBufUmlbwCn313,t94wyKzthQebQ3KyPY,patrick.hawkins441@email.net,+1-798-851-1482,Patrick,Hawkins,2024-09-30 08:05:15,2024-11-26 08:05:15,MQL,OptedOut,2024-10-27 08:05:15
d2BEleby9cbD7aYEWo,qen8Hph8hR04FpYjW6,kelly.jenkins179@mail.com,+1-671-951-3330,Kelly,Jenkins,2024-08-24 00:25:51,2025-01-08 00:25:51,MQL,Unknown,
bAf3FJ5hkVSDlUDfEe,rWu0ham69Zax66mmrs,patrick.garcia805@homebuilder.com,+1-710-596-9301,Patrick,Garcia,2025-05-21 15:30:11,2025-08-18 15:30:11,Prospect,OptedIn,
T5zklgMJ4zTgFJ5JgJ,CNYePUiRAZnD2DHmZl,javier.mitchell699@example.com,+1-335-485-8755,Javier,Mitchell,2024-11-30 11:47:52,2025-03-02 11:47:52,MQL,OptedIn,
Yp3MnKB047MGT2a1s9,,brandon.castillo756@mail.com,,Brandon,Castillo,2024-05-31 06:09:55,2024-08-05 06:09:55,SQL,OptedIn,
7C1esOZLDyfuw26I6T,jwCDe9A40RaIEhhSgv,joseph.hall853@email.net,+1-322-335-2771,Joseph,Hall,2024-12-22 08:46:58,2025-02-13 08:46:58,SQL,OptedIn,
g9RfVXucbmMgOnegnn,8CC3LHXKhHGrzg5xmu,grant.morris420@homebuilder.com,+1-581-266-9523,Grant,Morris,2025-01-11 05:47:45,2025-04-25 05:47:45,SQL,OptedIn,
sqrtKh6BYl8xQew4QH,nxdtYeSLpoqKlbiMS6,isaac.mclaughlin217@example.com,+1-635-282-5678,Isaac,Mclaughlin,2025-09-26 08:47:37,2025-12-05 08:47:37,Customer,OptedOut,2026-02-10 08:47:37
FqvcLdW0qg1EsD2W67,p2K8yARhY6wg92MYQ2,tammy.santiago926@mail.com,+1-248-915-2542,Tammy,Santiago,2025-05-14 15:26:40,2025-05-22 15:26:40,Prospect,Unknown,
mwPd4l9OkiJqW88o2W,BGKSKsHwQpTk3xD4x2,brooke.aguilar655@homebuilder.com,,Brooke,Aguilar,2024-04-22 09:22:26,2024-07-31 09:22:26,SQL,OptedIn,
kGQp26uumVulu8kPsy,dWt8VGoKjei0KIfBbd,rhonda.forbes992@email.net,+1-240-970-7926,Rhonda,Forbes,2025-11-08 14:35:25,2025-12-31 00:00:00,MQL,OptedIn,
JIha0qLsdyIHQIi7VV,kySiQNES9Bsl1ecwtE,sean.smith77@mail.com,+1-886-581-3587,Sean,Smith,2024-07-29 12:28:58,2024-08-11 12:28:58,SQL,OptedOut,2024-12-02 12:28:58
IDaiHUcHuu2Hu1BCPv,xEJo92zblSsZiNO9gt,jennifer.bartlett619@mail.com,+1-764-565-8312,Jennifer,Bartlett,2024-10-13 10:30:36,2025-01-23 10:30:36,Customer,OptedIn,
L5xg5Z93zl4mHcA9Ky,ig1TxmmZiaAccq9g1w,frederick.jordan604@mail.com,+1-676-376-6650,Frederick,Jordan,2024-06-25 08:02:08,2024-07-25 08:02:08,MQL,OptedIn,
wXzRWXcqtKvTPSmkgX,GMP23YMHNRYpcb75Nz,vanessa.keller611@homebuilder.com,+1-322-263-9397,Vanessa,Keller,2024-09-23 18:39:00,2025-01-17 18:39:00,Prospect,Unknown,
doxm37XTJ5CObxYHUd,nITKjDXkYczhfNuWF3,anthony.mcdonald38@homebuilder.com,+1-831-225-6323,Anthony,Mcdonald,2024-01-13 16:45:13,2024-04-24 16:45:13,Prospect,OptedIn,
n0JsrThzKUQpbHnd4b,yF1mLjcljK2XoAmShd,zachary.weiss27@example.com,+1-872-245-1195,Zachary,Weiss,2024-08-17 18:01:11,2024-08-24 18:01:11,SQL,OptedIn,
ztQdA9jKEMxvYMwDWJ,TqLY7HEQYlcfYbeg1G,amber.jackson123@email.net,+1-645-990-6667,Amber,Jackson,2024-04-09 21:41:45,2024-07-22 21:41:45,MQL,OptedIn,
E8EqzEr21jUUfj0oG4,,christopher.brown169@example.com,+1-795-272-1237,Christopher,Brown,2025-05-05 20:43:04,2025-08-21 20:43:04,SQL,OptedIn,
sfcSbSj2kuM7FeMl9k,jwwOzx2bvxDZw8kEyA,eric.ortega537@homebuilder.com,+1-272-954-9782,Eric,Ortega,2024-10-05 08:12:36,2025-01-14 08:12:36,MQL,OptedIn,
ZqvrGkQfDdEsjikok1,lCDrK9t0r88FAe10mE,anthony.pratt895@mail.com,+1-922-610-1068,Anthony,Pratt,2025-02-07 00:45:10,2025-05-25 00:45:10,MQL,OptedIn,
Ga0IuHqTVdcCLaZ4vU,Aw9eibqYp12dZelPdU,courtney.davis962@email.net,+1-781-990-5895,Courtney,Davis,2024-06-17 18:06:02,2024-08-19 18:06:02,Prospect,OptedIn,
lBbz6ck7sD0cRyKMF9,FvHRkZfKUKULGHasYW,sarah.zuniga542@example.com,+1-525-663-8805,Sarah,Zuniga,2025-06-30 21:23:19,2025-08-15 21:23:19,Prospect,OptedIn,
g7J3fTVqyISM1RVmxE,r5W2DrtT24vtY2vJxa,sherry.lloyd341@mail.com,,Sherry,Lloyd,2024-07-26 16:19:48,2024-12-19 16:19:48,Prospect,OptedIn,
udHwMhTW030fjg4Yao,Y70aXwIkuLPeV9DpCB,joe.cohen74@example.com,+1-990-298-1945,Joe,Cohen,2025-10-14 14:03:29,2025-12-31 00:00:00,Prospect,OptedOut,2025-12-26 14:03:29
Pl579tBz8rbeoyHimi,5iBGfbsBliYTrKx0wx,karen.duncan860@homebuilder.com,+1-578-589-8893,Karen,Duncan,2025-07-14 14:14:27,2025-10-14 14:14:27,Customer,OptedIn,
ixbl4RL9GSxIEnZmhj,ckah4v6mI5lROeTX8O,caitlin.dyer982@homebuilder.com,+1-851-358-1880,Caitlin,Dyer,2024-05-20 09:13:58,2024-07-26 09:13:58,SQL,OptedIn,
Z6sMXPpM9VKrJyIeXH,c5vOEjR7WA2MurSrvY,kimberly.west785@mail.com,,Kimberly,West,2025-06-25 07:12:51,2025-07-10 07:12:51,MQL,OptedIn,
