lead_id,account_id,email,phone,first_name,last_name,lead_source,status,created_at,updated_at,is_converted,converted_contact_id,opt_in_status,unsubscribed_at
Qc3W8pSi7mwh8PRBai,HgDREMyMtd3Hywp5Dd,danielle.johnson904@mail.com,,Danielle,Johnson,Web,Qualified,2025-06-21 06:32:50,2025-09-12 06:32:50,False,,OptedIn,
5hjyb9Y2AKsrA8l3Jj,,joshua.walker296@email.net,+1-710-756-1094,Joshua,Walker,Organic,Qualified,2024-04-12 04:39:42,2024-05-07 04:39:42,True,,OptedIn,
aTP4bFXcYp39e2qfpI,P64IwnxsoZhxYlkxSS,jill.rhodes51@example.com,+1-775-381-8460,Jill,Rhodes,Other,Disqualified,2024-05-05 07:30:23,2024-07-30 07:30:23,False,,OptedIn,
2lKtolq4T7rKPDC3Zy,ckah4v6mI5lROeTX8O,patricia.miller496@example.com,+1-788-838-6797,Patricia,Miller,Referral,Disqualified,2025-09-04 04:49:49,2025-12-03 04:49:49,False,,OptedIn,
WdUBbhy01c7qnzPKYd,H8bh2tKEkvt1oIHUh6,robert.johnson656@example.com,+1-316-902-6460,Robert,Johnson,Paid Search,Qualified,2025-09-05 18:18:42,2025-09-13 18:18:42,False,,OptedOut,2025-12-22 18:18:42
c1AKKfuneTctXKmPkp,eXyHKVmR4cSxrdvQbP,jeffery.wagner579@homebuilder.com,+1-562-267-3446,Jeffery,Wagner,Paid Search,New,2025-02-20 05:37:45,2025-02-22 05:37:45,False,,OptedIn,
NXAbB7mJriG5sNpIWA,gLmi2RQAPsLNpmZlDR,anthony.gonzalez804@homebuilder.com,,Anthony,Gonzalez,Paid Search,Qualified,2024-03-12 22:15:57,2024-05-07 22:15:57,False,,OptedOut,2024-05-01 22:15:57
Wm8sowf8iSiW0vga5S,qRgiUtR38PYYfJ1F0D,debra.gardner106@example.com,+1-405-397-5695,Debra,Gardner,Paid Search,Disqualified,2024-08-30 17:03:51,2024-09-01 17:03:51,False,,OptedIn,
R79G0cVCLJ8hHF4cLR,OdX954vy9KaledJRxE,jeffrey.lawrence30@mail.com,+1-806-844-8304,Jeffrey,Lawrence,Organic,Nurture,2024-03-23 06:37:15,2024-05-11 06:37:15,True,,OptedIn,
oifXykS8ovTSgiSEDr,LdNWhPIBXEDr8S3PPW,lisa.smith935@homebuilder.com,,Lisa,Smith,Event,New,2025-12-13 11:02:53,2025-12-31 00:00:00,False,,OptedIn,
SAlb76onKenXOPcXyN,qEh0VNcfcTU0Y0WHy1,linda.wolfe214@homebuilder.com,+1-878-885-2276,Linda,Wolfe,Other,Disqualified,2025-09-01 04:40:19,2025-10-26 04:40:19,False,,OptedOut,2025-09-14 04:40:19
7aK6RJPbgaoKd3D8ak,3vqTVvAZj7ObsVNyul,matthew.moore776@example.com,+1-524-506-5989,Matthew,Moore,Event,Nurture,2025-02-16 15:19:34,2025-03-25 15:19:34,False,,Unknown,
abVqq3ty0Yy6H1Qaci,GNqnen7h3w9PangBNM,susan.rogers391@email.net,+1-627-357-5726,Susan,Rogers,Other,Working,2024-05-14 16:35:55,2024-07-13 16:35:55,True,,OptedIn,
40iURz5dPSmbQBVYRM,,christopher.davis435@mail.com,+1-790-575-1548,Christopher,Davis,Web,Disqualified,2025-10-19 17:34:06,2025-12-31 00:00:00,False,,OptedIn,
MZx4jWrkHWWbFdffgX,hGpVd71NaBraLAtkgH,melanie.munoz628@homebuilder.com,+1-539-631-6782,Melanie,Munoz,Paid Search,Nurture,2025-08-27 16:47:51,2025-08-28 16:47:51,False,,OptedIn,
hbImGdZZeIj1U74mFc,,lindsay.blair879@homebuilder.com,+1-379-467-4869,Lindsay,Blair,Event,Working,2025-04-14 00:02:57,2025-05-06 00:02:57,False,,OptedOut,2025-07-13 00:02:57
rL58v9UzlERdDjLdk7,yF1mLjcljK2XoAmShd,amanda.dudley476@mail.com,+1-685-468-3378,Amanda,Dudley,Organic,Qualified,2025-08-02 13:15:15,2025-11-06 13:15:15,False,,OptedIn,
vRgxg2udxQurKG6eOl,TqLY7HEQYlcfYbeg1G,nicholas.arnold752@mail.com,,Nicholas,Arnold,Web,New,2025-02-07 20:36:49,2025-03-22 20:36:49,False,,OptedIn,
66RDHB15wepwdh7r8e,H4HGJX8Ehh3PXPCQua,maria.montgomery918@mail.com,+1-483-987-7995,Maria,Montgomery,Other,Nurture,2024-08-16 19:09:25,2024-10-14 19:09:25,False,,OptedIn,
